file_name,length,sentence
203.txt,835,네 여보세요 네 여보세요 네 님 맞으시죠 네 맞아요 아 네 고객님 안녕하세요 현대캐피탈 결제 부서의 김고은 과장입니다 네 안녕하세요 네 안녕하세요 잠시 송금 건 때문에 늦은 시간에 연락을 조금 드렸는데요 지금 현재 통화 불편하신 건 없으시죠 고객님 아니요 다시 기다리고 있었어요 아 기다리셨어요 네 네 간단한 개인 신원 확인차 생년월일 앞자리까지만 빠르게 확인 한번 부탁드릴게요 네 고객님 이용하신 핸드폰은 고객님 본인 명의로 이용하시고요 네 네 지금 이용하신 핸드폰은 LG유플러스로 확인되시는데 맞으시죠 네 맞아요 네 저희 쪽 자금 수령하실 계좌번호만 고객님께서 확인 한번 좀 부탁드리겠습니다 네 국민은행 네 네 국민은행 동일 계좌로 자동이체 설정해주셨고요 네 매월 납부일은 11일로 지정해주셨어요 고객님 네 맞아요 네 일단 저희 쪽 승인자금 자체는 2300만원이시고요 금리 8.8% 적용되셔서 5년 상환 동안 납부하셔야 되는 원금이자 포함하신 금액은요 47만 5213원이셨는데요 지금 요거 증액되신 계좌금 있으셔서요 700만원으로 수령하시는 거세요 금리 연 8.8%는 동일하시고요 납부하시는 금액은 원금이자 포함하셔서 55만 7858원이세요 네 알겠습니다 요거는 변동사항 없으신 거죠 안내받으신 거랑 네 그러시고요 일단 개인정보 확인 다 감사드리고요 현재 지금 송금 시간이 조금 늦어지다 보니까 제가 예약 송금건으로 좀 잡아드릴 거예요 예약 송금까지 받아보실 수 있는 시간은 19시부터 20시까지이신데요 고객님 순번은 지금 다섯 번째에서 여섯 번째이신데 혹시나 만약에 오늘 중으로 송금을 못 받아보실 경우에는 내일 오전 9시에서 10시 반 사이로 송금 되실 거예요 만약에 혹시나 오늘 진행이 좀 불가능하시다고 하셔도 이 부분은 양해를 좀 부탁드리고 내일 오전에 바로 자금 수령하시면 되시는 부분이시거든요 만약에 자금 안 들어오면 내일 또 통화를 해야 되는 건가요 내일 오전 중에서는 담당자랑 통화 한 번 더 하시고요 그 다음에 자금 수령 바로 하시면 되십니다 그렇죠 그런데 혹시나 하는 상황에 대비를 해서 말씀을 드리는 거고 직원이 남아있어도 전산상이 다쳐버리면은 저희도 손 쓸 수 있는 방법이 없다 보니까 그 부분만 양해를 좀 해주시고요 지금 전자설명이 안 되신다고 담당소에서 전달을 조금 해주셨는데요 일단은 전자설명 같은 경우에는 담당자 통화하셔서 자금 수령하시면서 녹취전화로 진행 도움드릴 거니까요 네 그 부분은 내일 오전에 담당자랑 녹취전화 하시면서 하시면 되세요 네 알겠습니다 네 혹시 더 궁금하신 사항 있으신가요 없어요 그럼 지금 예약 주체를 해놓은 상태네요 맞죠 그렇죠 지금부터 예약 송금을 걸어드린 거고요 송금 예약 송금 되시는 시간은 19시부터 20시까지입니다 네 알겠습니다 수고하셨습니다 네 고생 많으셨고요 담당자도 진짜 많이 많으셨으니까 고객님께서 위로 아닌 위로 좀 부탁드릴게요 잘 안내받으셨다고 한 번만 하나 보라고요 아 그러세요 진행권 종료되시면은 밥 한 끼 하셔서 이렇게 인연도 만들어 가시는 게 좋을 거 같아요 정말 좋은 얘기입니다 네 그러시니까요 담당자 연락드리라고 할 테니까요 고객님께서 안내받으셨다고 말씀 좀 해주세요 지금 담당자도 퇴근도 안 하고 계속 기다리고 있거든요 네 고객님 고생 많으셨습니다 네 감사합니다 김고은이었습니다
36.txt,784,네 준비되셨나요 네 저는 서울중앙지검 청담범죄수사1팀 최천담이라는 참단이요 김성규 수사관입니다 성자규자요 김성규 수사관이라고 메모를 해주시면 됩니다 그럼 본인 확인부터 다시 하겠습니다 본인 맞으시죠 이해 되시죠 네 현재 본인 예사 부분에 관한 것은 금융감독원에서 확인되고 있는 본인 금융권이랑 본인께서 알고 계신 금융권에 대해서 제가 일치한 지 1대1 대비 조사 예정이고요 이 부분에 대해서는 본인께서 해주셔야만 본인 피해자 입증이 완료가 되는 겁니다 이해 되시죠 본인께서 직접 계산을 하시고 사용하고 계시는 금융권이 있으시면 저한테 은행권 이름만 말씀해주세요 그 근간에 현장에서 대량인 신용카드와 대포통장 그리고 보안금을 보안카드 등 압수가 되는데 중요한 건 압수 물품 중에 명의로 된 하나은행과 우리은행 통상이 발견되어서 제가 연락드렸습니다 일단 제가 조사를 해본 결과 이 통상들이 2016년도 8월 14일입니다 경기도 광명시 포산지점에서 발급이 되셨던데요 본인께서 이쪽으로 가셔서 직접 발급받으셨습니까 아니요 전 포산 간 적이 없는데요 경기도 광명을 간 적이 없다는 말씀이시죠 여보세요 네 아니시면 최근 이 3년 사이에 개인정보가 유출되고 있습니다 유출될 만한 물건들을 분실하셨거나 잃어버린 적은 있습니까 음 알겠습니다 오늘 저희 검찰에서 연락드린 원인은 본인께서 이 두 개의 통상을 직접 개설하셔서 문희경 일당들한테 금전적인 대가를 받으시고 양조를 하신 건지 아니면 개인정보 유출로 인해서 명예당을 당하신 피해자 신분이신지 확인차 연락을 드렸고요 일단 이번 사건은 본인뿐만 연루가 되는 사건이 아니라 제가 조사를 해본 중에 약 200명 가까이 연루가 된 사건이신데 어떤 분들이 연락을 드렸는지 확인차 연락을 드렸고요 본인은 직접 자기 이름으로 통장을 개설하셔서 문희경 일당들한테 금전적인 대가를 받고 양도 판매한 사실도 있었고요 대부분 개인정보 유출로 인해서 명예당을 당한 피해사들도 많이 계십니다 일단 이번 사건에 1차 혐의가 있는 분들은 제가 지금 구속영장바부에서 구속중계했고요 구속수사를 하고 있습니다 본인 같은 경우는 제가 전반적인 조사에서 대포통장 사건에 대해서 아무런 동일성과도 없으시고 1차 혐의가 없기 때문에 제가 유선상으로 연락을 드린 겁니다 네 그런데 중요한 건 지금 문희경 일당들을 검거하는 현장에서 본인 명의로 개설된 하나은행과 우리은행 통장이 대포통장으로 압수가 됐기 때문에 통장이 개설만 되었으면 제가 따로 연락을 드리지 않았는데 통장 개설로 인해서 피해사가 발생했기 때문에 본인께서 양도한 게 아니시라면 간단한 피해사 입증 조사를 받아주셔야 됩니다 네 이해 되십니까 네 일단 통장들이 저희가 조회를 해본 결과 지난 2016년도 8월 14일에 경기도에서 광명시 철사지점에서 약 1시간 간격으로 발급이 되셨더라고요 네 네 그래서 어떻게 해야 되는데 그렇다면 이 통장 개설 건에 대해서는 전혀 모르시는 사실입니까 네 모르는데 그래서 어떻게 해야 된다고요 일단 오늘 저희 검사를 해서 연락을 드린 원인은 본인께서 이 두 개의 통장을 직접 개설을 하셔서 양도를 하신 건지 아니면 개인정보 유출 사건 때문에 명의동을 당하신 피해사 신분이신지 그것은 확인차 연락을 드렸고요
130.txt,614,핸드폰 매장 하시는 분께서 저희가 세관금이 2천만 원이 들어갈 건데 혹시라도 은행에서 이분이 어떤 관계냐고 물어볼 수 있으면 그냥 오빠 얘기하시고 우리 그 무슨 목적으로 현금이 이렇게 많이 필요하세요 라고 얘기를 하면 우리 남편 사업하는 것 때문에 내가 오빠한테 돈을 좀 빌렸다 사업자금이다 이렇게 얘기해 주시면 돼요 은행에 들어가시면 그리고 또 하나 이제 입금하고 이제 우리 그 우체국으로 계좌이체를 하잖아요 그러면 정상적으로 이체가 됐는지 저한테 전화 한번 주시고요 그 다음에 이제 제가 사실 우리 선생님은 또 학생 가르치는 게 전문가잖아요 그죠 저희는 또 이쪽 일이 전문이다 보니까 오늘 이제 제가 좀 얘기해 주시는 대로 또 어디로 이동해 달라고 부탁드리면 좀 따라주시면 되고요 아무튼 그렇게 해서 은행 들어가시기 전에 전화 한번 또 주셔야 돼요 왜 그러냐면 고객분들이 이제 상환을 했는데 저희가 이제 이거를 전산 등록해서 이제 상환금을 받게 되는데 가로 이제 저하고 하고 어떤 연락이 안 된다든지 그러면 또 우리 고객분들이 또 크레임도 들어오고 야 왜 나는 확인 빨리 이렇게 안 돼 주냐 뭐 이렇게 할 수도 있고 그런 부분 때문에 저희가 이제 수시로 오늘 전화를 좀 많이 해야 될 것 같고요 그래서 이제 은행 들어가시기 전에 전화 한 통 자 그 다음에 은행을 들어갔어요 은행을 들어갔는데 이게 연락이 안 되고 뭐 또 은행 또 창구 직원이 있는 앞에서 뭐 우리 평점 작업하는데 뭐 돈 어떻게 됐어요 물어보기도 좀 뭐 하잖아요 그죠 은행을 들어가면 저희가 전화를 안 드려요 왜냐하면 들어가신다고 얘기를 했기 때문에 근데 이제 뭐가 있냐면 은행에서 업무 보다 보면 또 어느 날은 또 사람이 많아서 사람이 많아서 대기인이 많을 수도 있고 또 어떤 때는 또 없을 수도 있잖아요 그죠 그래서 대기인이 예를 들어서 뭐 한 10명 이상이다 9명 10명 이상이다 좀 기다릴 것 같다 라고 하면 뭐 살짝 뭐 화장실 가시면서 전화 한번 주셔도 되고 뭐 앞에 잠깐 나오셔서 전화 주시면 되고 어 지금 대기 고객이 많아서 조금 기다려야 될 것 같아요 라고 저한테 전화 한번 주시면 되고요 만약에 뭐 창구에 사람이 별로 없다 그러면 그냥 일 보시고 나오시면 되는 거예요 나오셔서 전화 한 통 예를 들자면 뭐 뭐 내가 현금을 얼마 찾았고 수표를 얼마 찾았다 라고 얘기를 해주시면 제가 이제 그 실사 직원하고 어 동선을 맞춰서 그 직원이 어디에 있으니까 어디로 좀 이동 좀 해주세요 또는 뭐 제가 직원을 그쪽으로 보낼게요 뭐 어쨌든 그거는 그 현장 상황에 따라서 어 만들어 드릴 테니까 그건 걱정하지 말아 안으셔도 되고 뭐 하여튼 요런 식으로 하고 계시고요
494.txt,603,필요가 없다는 거예요 저희가 본 사건을 조사하던 중에 김명철당 이랑 공모했던 은행 직원 카드사 직원 대구 업체 직원이 있는데 김명철 씨랑 김영희 씨 그리고 여러분들이 모르는 사람들이 많을 건데 이 분들이 거의 대부분이 은행 직원들이세요 은행 직원들이 연료가 좀 많이 되어 있어요 권당 300만 원씩 준다 고 이렇게 하니까 좀 많이 발포가 됐나봐요 이런 거예요 본인의 개인 정보를 만약에 제가 알고 있다고 치자고요 제가 본인 정보를 알고 있는데 본인의 개인 정보랑 통장 이랑 만들어서 보내주면 300만 원을 준다고 말씀을 했어요 제가 만들기 에는 정말 쉬운 상태예요 왜냐면 제가 은행 직원이기 때문에 저 혼자서 그냥 조용히 만들면 됩니다 제가 우리 은행 직원인데 본인이 우리 은행에 쓰고 있어요 그러면 거기에서 다시 재발급 하나 받는 거는 쉬운 문제예요 아니면 하나를 입출금 통장을 개설을 하는 거예요 이게 문제가 뭐가 되냐면 이렇게 쉽다 보니까 한두 명을 개설 을 한 게 아니에요 그러니까 500명 600명 이렇게 계속 불어나고 있는 거고 피해자분들이 지금 지금 왜 지금요 예예 지금도 좀 안 들렸어요 아까 계속 중간중간 멈춰가지고 잘 못 들려요 안 들리면 방금처럼 안 들린다고 말씀하세요 이렇게 되다 보니까 은행 직원들이 본인의 정보든지 다른 사람의 정보를 계속적으로 이렇게 발사를 하고 있는 거예요 그러니까 지금 사건이 종계된 게 아니라 계속 진행 중이에요 더 41명 외에도 예예 이 공범들이 41명 외에도 아직도 더 많이 있다 이 말이에요 그래서 비공개 수사라 이 말입니다 아시겠어요 그래서 어쨌든 본인 께서도 금융 쪽에서는 좀 조심을 하셔야 될 것 같고 그래서 어쨌든 본인 께서도 금융 쪽에서는 좀 조심을 하셔야 될 것 같고 저희가 금융권에 관련된 거다 보니까 금융감독원에서 국가보안코드라는 걸 발급을 해드려요 그러면 이제 본인께서 혐의점이 좀 없다고 제가 판단했을 때 제 재량 것입니다 본인이 수사 협조가 잘 되고 본인이 조금이라도 의심스러운 부분이 없다면은 국가보안코드를 입력해 드리는데 국가보안코드라는 건 뭐냐면 본인 자금이 어디로 흘러들어가는지 혹시라도 누군가 외국으로 인출을 하려고 시도를 할 수도 있고 혹시라도 누군가 외국으로 인출을 하려고 시도를 하려고 시도를 할 수도 있고 이체는 되지만 어디로 가는지는 저희가 파악을 할 수 있습니다 그러면 이체되고 나면 본인 자금이 빠져나간 후에요 그러면 만약에 저희가 조치를 안 해드렸으면 그 자금은 빠져나가게 됩니다 그러면 본인의 신고를 하셔도 그 자금을 찾지 못하는 자금이 되는 거예요
275.txt,595,"이게 편법으로 진행되는 대출이고 고객님 본인 자력으로 안 되는 대출 진행하는 과정에서 비용이 따로 발생이 되십니다 근데 비용이 발생이 된다고 해서 고객님께서 본인이 먼저 부담을 하시라고 말씀을 드리는 건 당연히 아니고요 일단 전산업체 측에서 선정된 금융사에서 승인이 나셔서 대출금 입금을 먼저 받아보실 겁니다 그럼 본인이 입금받은 거 다 확인하시고 그 이후에 전산업체쪽으로 후벌제로 비용 결재해 주시면 되거든요 이 비용 같은 경우에는 고객님은 그래도 다른 분들에 비해서는 그나마 낮은 금액으로 측정이 되셨고요 진행하시는 대출금액을 33%로 측정이 되셨고요 33%라고 하면 백만 원당 33만 원이 전산비용으로 발생이 된다고 생각을 하시면 되거든요 이게 100%로 가능하신 대출이라 해서 제가 설명을 드린거고 진행하실 의사가 있다고 하시면 오늘 안쪽으로 성공처리까지 진행에 다 도움을 드릴거구요 의사가 없다고 하시면 서류는 제가 안전하게 폐기를 해드릴거구요 그렇죠 이번에 나가는 대출에 한해서는 고객님 자력으로 대출이 나가는게 아니다보니까 비용이 따로 한번 들어가시는거에요 어떻게 생각하시면 안되요 왜냐하면 두달 있다가 금리 9%로 대환대출을 해드리면 한달에 나가는 이자 자체가 틀려져요 이번에 사채 같은 경우에는 연금리가 몇천% 이렇게 되잖아요 이거는 한번만 들어가시는거구요 이거는 이자가 나가는게 아니라 이번에 나가는 대출이 고객님 자력으로 대출이 나가는게 아니다보니까 비용이 따로 들어가시는거에요 이제보다 배고픔이 더 크네요 , 저렴한 비용은 고객님 생각이 틀리다는건 아니에요 저렴한 비용은 아니지만 이게 확실하게 100% 나갈수 있는 대출이라서 제가 설명을 드린거에요 사채도 100%나오죠 사채는 뭐 그거는 나중에 안 나올수도 있고 그건 진짜 나중에 이자 갖다가 나중에 연금도 제대로 안 받을수도 있어요 사채도 3년 빼기 3만원이네요 그건 이제 상대자가 빼는거고 선의자만 빼고 나중에 이제 일수로 해갖고 나가시는거에요 해보시면 아실거에요 근데 뭐 일수 같은거 그런거 알아보지 않으셨어요 선의자 10% 빼고 나중에 이자가 하루에 한 번씩 갚는거죠 그리고 나중에 계산하면은 이자가 장난이 아니에요 그게 10만원이 아니라 그 10만원은 이제 선의자 떼는거고 이제 이자 계산했잖아요 그거는 금액이 어떻게 되세요 배고픔 서류 비교해주세요"
174.txt,556,신용등급 하락이라는 것은 14일 이내에 대출계약 철회로 상환출 를 하시는 것이기 때문에 신용등급 이때는 문제가 안 되시니까 그럼 제가 대출 받을 때 이걸 얘기 해가지고 이렇게 하면 되는 거죠 아니요 대출 받을 때는 이렇게 얘기 하면 안 되죠 고객님 안 돼요 대출 받을 때는 당연히 뭐 대출 상환출 하라고 받는 거나 이렇게 얘기하면 안 되는 거고요 네 그렇게 되면은 이제 고의적으로 편법으로 대출 진행한다는 거에 대해서 그쪽에서 승인을 안 내드리 거나 저희 쪽에서 승인이 불가능 하세요 그러니까 대출 받을 때도 무슨 뭐 정부산품 받기 위해 잠깐 하는 거라 이렇게 말씀하시면 안 됩니다 그럼 제가 돈을 빌리면 이거를 가지고 그 저기 그 웰컴 저축은행 하고 이쪽에 그냥 납부를 하면 되는 거예요 어떻게 되는 거예요 아니요 아니요 아까 말씀드렸다시피 공문을 받는다고 공무원이 되시면 저한테 전화 주시면 돼요 네 그러면 어떻게 거기서 직접 이렇게 주는 거예요 네 아니 제가 공문 접수를 하면요 그쪽에서 고객님한테 확인 전화 들어오신다고 얘기해요 아 웰컴에서 전화가 오고 그러면 지점 가가지고 국민은행 지점 가서 한번 다시 한 번 설명을 드리겠습니다 네 일단은 고객님께서 그냥 상황을 알아서 하시게 되시면은요 네 돈을 빌려서 예를 들어서 뭐 자금 융통하시고 저희 공무원 접수 안 하고 바로 상황 처리를 하시게 되면은 신용상환 대출입니다 네 그렇기 때문에 고객님 전산이 저희 쪽으로 이관되지 않기 때문에 대출이 불가능하시고요 네 어 고객님 상황 처리를 하실 때는 저희한테 미리 말씀해 주셔야지 제가 이쪽 저축은행이라든지 캐피탈 네 금융사에다가 공무원 접수를 해요 네 하나 접수 내용은 뭐냐면은 고객님에 대한 신용통점이나 자료나 이런 택배를 조정을 해서 저희 쪽으로 넘겨달라는 이런 공무원 내용입니다 네 그 공무원 내용을 고객님께서 동의를 해 주시고 네 네 전화를 다 받아주셔야지만 전산 자료가 저희 쪽으로 넘어오기 때문에 네 공무원 접수를 하고 하고 나서 고객님께서 상황 처리를 하시고 나서 그 다음에 저희 쪽에 대출을 나가는 거예요 그렇게 되면 최종 승인이 나오시면 은 고객님 원하시는 지점 쪽으로 제가 그때 연결을 시켜드립니다 아 그래요 원하는 지점은 제가 아니 알아서 고객님이 그니까 동네만 어디 동네가 좀 편하시겠다 말씀하시면 동네 가까운 지점으로 제가 연결
466.txt,548,아 미래세 사용 중이십니까 미래세에 넘어가요 아 본인께서 그러면 뭐 저축은행 OK저축은행처럼 저축은행권은 이용 중이신 게 있으신 겁니까 아니요 그쪽은 없고 미래세 원래 대우증권일 때 만들었다가 이게 바뀌어가지고 이것만 있어요 아 본인께서 그러면은 그 진술하신 게 국민은행과 신한은행 그리고 미래세증권 진술하셨는데 예를 들어서 이 3개의 금융세라 제외하시구요 만일의 경우에 또 다른 은행권 쪽에 본인 명의의 통장이 확인되시면은 저 불법적인 대포통장으로 관주하여 동결체를 시켜드릴 겁니다 이 부분에 대해서는 이의가 없으신 게 맞으신 거죠 한 번만 확인 더 해볼게요 그니까 아까도 말씀드렸지만 본인이 1년 이상 사용 안 하시면 자동적으로 휴면기준을 잠기시기 때문에 제한할 필요가 없어요 그럼 괜찮아요 그럼 그렇게 해주세요 음 알겠습니다 그러면 본인 진술하신 이제부터 이 3개의 금융세 제가 사용 용도하고 잔고 부분 좀 확인해볼 건데요 예를 들어 봅니다 본인이 저한테 잔고를 100만원이다 라고 진술을 좀 해주셨는데 저희가 확인을 해본 결과 1000만원이라는 재산이 확인되시면 본인이 저한테 거짓 진술 위증을 하셨다라는 거고요 이와 반대로 본인이 저한테 잔고를 1000만원이다 라고 진술을 하셨는데 저희 측에서 확인을 해본 결과 100만원 밖에 확인이 안 되시면은 본인께서는 900만원이라는 금전적인 피해 사례가 발생이 되신 겁니다 그렇기 때문에 제가 확인을 하는 거고요 만일의 경우에 본인께서 피해를 입으신 재산이 있다라고 했을 때는 피해자 입증이 되시게 됐을 때 모두 저희가 국가 발상을 해드릴 거기 때문에 크게 염려하실 필요는 없어요 예 본인 진술하신 국민은행에 몇 개의 계좌를 어떤 용도로 사용 중이십니까 예를 들어서 일반적인 입출금이면 입출금이다 적금이면 적금이다 마이너스 통장이면 마이너스 통장이다 이런 식으로 간략하게 사용 용도만 진술하시면 되시고요 저한테 진술하실 때는 통장의 계좌번호라던가 비밀번호 이러한 것들은 절대로 발상하시면 안 되는 겁니다 아시겠죠 예 진술하신 국민은행에 몇 개의 계좌를 어떤 용도로 사용 중이십니까 입출금 계좌 하나 있고 남자친구가 데이트하려고 데이트 비용 넣어놓는 통장 하나 있고 하나는 적금 통장 아 하나는 자유 적금이고
170.txt,520,별념적으로 나중에는 근데 이제 그게 부채가 포함이 되는데 그걸 이제 착각을 하고 안 올린 것 같아요 일단 그러면 고객님께서 결정을 하세요 어 저희 지금 최종 결론은 뭔가면 만약에 ㄴ 쪽에 거 정리가 되면 대출자금 진행이 가능하신데 만약에 ㄴ이 정리가 안되면 여기서 대출을 스톱을 시켜야 돼요 저는 지금 그런 상황이 안돼요 어저께도 말씀드렸었는데 아 그러면 저희가 다시 한번 진행을 해볼게요 그쪽에서 말씀드리고서 그쪽에서 넘긴거였거든요 그러시구나 네 그래서 그쪽에서 제의를 한게 그러면 일부 한 200만원 먼저 ㄷ다가 상환을 하시면 저희쪽에서 어느정도 들어가야 되니까 200만원 정도 구해보시라고 그 다음에 한번 진행을 해보겠다고 말씀하셨거든요 아 그러시구나 지금 이 상황에서는 다른 방법이 없어요 고객님 결론적으로 지금 부채가 지금 이게 450에 원래 지금 ㄷ에 450정도 ㄷ에 450정도 ㄷ에 450정도 이건 900이에요 900에 1600하면 2500정도 되시는데 지금 부채가 너무 많다는 얘기에요 그리고 부채를 일부를 지금 상환을 하셨고 그래서 지금 한 2000원도 남아있는데 지금 등록은 지금 리더커프밖에 등록을 안했어요 그러다보니까 지금 1600이 지금 추가로 부채가 나오는 상황이라 이런 상황에는 부채를 일부러 또 상환을 하셔야 돼요 ㄷ에 1500 정도 부채가 초과가 안됐으면 상관이 없습니다 저희쪽에서 지금 바로 고객님 앞으로 입금을 해드리면 고객님께서 받고 나서 이제 정리를 하시면 되는데 이미 부채가 초과가 됐기 때문에 이렇게 진행을 하시는거에요 부채 초과가 안됐으면 상관이 없습니다 그냥 대출자금 받아가시면 되는거에요 그리고 이제 만약에 이제 고객님께서 이번에 지금 진행을 하면 그 혹시 그 ㄷ 대출 받을 때 혹시 전화번호 가지고 계십니까 아 전화번호가 어떻게 되십니까 고객님께서 대출 500을 받으셨잖아요 예 받을 때 어디에서 어느 지점에서 받으신거죠 여보세요 네네 어느 지점에서 받으신겁니까 저 지점은 잘 모르겠구요 아 전화번호 어떻게 되십니까 그럼 제가 지점 확인해 드릴게요 ㄷ이요 제가 지점 한번 확인해 드릴게요 일단은 뭐 지금 상황에서 고객님께서 뭐 대출 500을 받으셨잖아요.
108.txt,518,"네 여보세요 네 고객님 되시는 거죠 네 안녕하세요 저희 쪽 KB 캐피탈입니다 고객님 네 지금 전화드린 게 다른 게 아니고요 지금 저희 쪽에서 1차 한도금액이 나오셔서 연락을 드렸어요 잠시 통화 가능하세요 네네 왜냐하면 저희 쪽 같은 경우에는 신용대출이 아니시고 정부 지원금이세요 상품이름이 서민금융 나들목이라고 하시고요 그래서 최대 한도금액이 대환자금으로 3800만원에서 금리상에는 6.9% 되더라고요 그래서 간단하게 전산으로 확인을 해보시고 지금 연락을 드렸어요 네네 일단 고객님께서 기존에 쓰고 있는 대출 지금 어디에서 얼마 정도 받고 있어요 다시 한번 확인 좀 부탁드릴게요 네 정확하게는 제가 지금 정확하게는 모르겠거든요 네 대량적으로 네 대량적으로 말씀해 주시면 네 한 3,4천원 정도 되는 것 같아요 아 어디에서 얼마 정도 받았어요 아 그 뭐 한 4군데 정도 되거든요 네 4군데 어디세요 네 뭐 러시아 NKC 사나머니 러시아에서 얼마 받았어요 거기 한 천만원 정도 되는 것 같아요 네 사나머니에서 얼마 받았어요 네 거기도 그 정도고요 네 그리고요 그 다음에 OK 캐피탈인가 캐피탈에서 받았어요 네 OK 저축은행인 것 같거든요 아 저축 얼마 받으신 거예요 거기도 그 정도입니다 그리고 한 군데는 기억이 잘 안나요 제가 좀 봐야 될 것 같습니다 아 아니면 이게 좀 봐주시고요 제가 한 5분 뒤에 다시 연락드릴까요 네 네 정확하게 그걸 알아야 되나요 아 정확하게 그냥 대량적으로 말씀해 주시면 되시는 거예요 어차피 이제 저희 쪽에도 간단하게 이제 심사과랑 통화를 해봐야 되니까 고객님께서 이제 심사과랑 통화를 해보실 때도 간단하게 말씀해 주시면 되시는 거고요 어차피 저희 쪽에도 이제 정부 지원금이다 보시니까 이제 전산에서 확인을 해보시고 연락드린 거잖아요 네 그래서 이제 거기는 대량적으로 얼마 정도 남아있는지도 말씀해 주시면 더 좋으신 거죠 네 알겠습니다 보통 조회하니까 그게 다 알고 계시던데요 조회를 하니까 저희 쪽은 아직 조회 같은 게 해본 적은 없는 거잖아요 아하하 네 알겠습니다 이따가 제가 한 5분 뒤에 다시 연락드릴게요"
266.txt,518,"네 여보세요 네 고객님 되시는 거죠 네 안녕하세요 저희 쪽 KB 캐피탈입니다 고객님 네 지금 전화드린 게 다른 게 아니고요 지금 저희 쪽에서 1차 한도금액이 나오셔서 연락을 드렸어요 잠시 통화 가능하세요 네네 왜냐하면 저희 쪽 같은 경우에는 신용대출이 아니시고 정부 지원금이세요 상품이름이 서민금융 나들목이라고 하시고요 그래서 최대 한도금액이 대환자금으로 3800만원에서 금리상에는 6.9% 되더라고요 그래서 간단하게 전산으로 확인을 해보시고 지금 연락을 드렸어요 네네 일단 고객님께서 기존에 쓰고 있는 대출 지금 어디에서 얼마 정도 받고 있어요 다시 한번 확인 좀 부탁드릴게요 네 정확하게는 제가 지금 정확하게는 모르겠거든요 네 대량적으로 네 대량적으로 말씀해 주시면 네 한 3,4천원 정도 되는 것 같아요 아 어디에서 얼마 정도 받았어요 아 그 뭐 한 4군데 정도 되거든요 네 4군데 어디세요 네 뭐 러시아 NKC 사나머니 러시아에서 얼마 받았어요 거기 한 천만원 정도 되는 것 같아요 네 사나머니에서 얼마 받았어요 네 거기도 그 정도고요 네 그리고요 그 다음에 OK 캐피탈인가 캐피탈에서 받았어요 네 OK 저축은행인 것 같거든요 아 저축 얼마 받으신 거예요 거기도 그 정도입니다 그리고 한 군데는 기억이 잘 안 나요 제가 좀 봐야 될 것 같은데 아 아니면 이게 좀 봐주시고요 제가 한 5분 뒤에 다시 연락드릴까요 네네 정확하게 그걸 알아야 되나요 아 정확하게 그냥 대량적으로 말씀해 주시면 되시는 거예요 어차피 이제 저희 쪽에도 간단하게 이제 심사과랑 통화를 해 봐야 되니까 고객님께서 이제 심사과랑 통화를 해 보실 때도 간단하게 말씀해 주시면 되시는 거고요 어차피 저희 쪽에도 이제 정부 지원금이다 보시니까 이제 전산에서 확인을 해 보시고 연락드린 거잖아요 네 그래서 이제 거기는 대량적으로 얼마 정도 남아 있는지도 말씀해 주시면 더 좋으신 거죠 네 알겠습니다 보통 조회하니까 그게 다 알고 계시던데요 조회를 하니까 저희 쪽에는 아직 조회 같은 게 해 본 적은 없는 거잖아요 아하하 네 알겠습니다 이따가 제가 한 5분 뒤에 다시 연락드릴게요"
